PMID,Year,Title,Why_in_software_focused_set,DOI,PDF_in_ZIP,PDF_filename,PDF_source,Access_status,Fulltext_or_PDF_source_URL,Retrieval_note,PDF_pages,PDF_size_bytes,SHA256,PubMed_URL
26448036,2015,Detection of Temporal Clusters of Healthcare-Associated Infections or Colonizations with Pseudomonas aeruginosa in Two Hospitals: Comparison of SaTScan and WHONET Software Packages,Direct software comparison,10.1371/journal.pone.0139920,Yes,PMID_26448036_Lefebvre_2015_WHONET_vs_SaTScan.pdf,PLOS ONE,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,14,651801,b1cd3cc303f87288418ea2831bf65b5287ab74562924dbc0243e23daee46f2d3,https://pubmed.ncbi.nlm.nih.gov/26448036/
27530311,2016,Statistical detection of geographic clusters of resistant Escherichia coli in a regional network with WHONET and SaTScan,WHONET-SaTScan geographic cluster detection,,Yes,PMID_27530311_Park_2016_Geographic_Clusters_WHONET_SaTScan.pdf,CDC Stacks / HHS Public Access author manuscript,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,27,463716,61193ce8ae65df5a4df8fc266f63cd6bc2161d8a52e4f7e047193f250ca46473,https://pubmed.ncbi.nlm.nih.gov/27530311/
28333615,2017,"Use of WHONET-SaTScan system for simulated real-time detection of antimicrobial resistance clusters in a hospital in Italy, 2012 to 2014",WHONET-SaTScan implementation/evaluation,10.2807/1560-7917.ES.2017.22.11.30484,Yes,PMID_28333615_Natale_2017_WHONET_SaTScan_Italy.pdf,LSHTM Research Online / Eurosurveillance open repository copy,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,10,327604,2089c8fbd33c7bcaabc8211dc6214d16281cdd7b15ba245df4dc1512d1d43530,https://pubmed.ncbi.nlm.nih.gov/28333615/
28844384,2017,Implementation and evaluation of an automated surveillance system to detect hospital outbreak,WHONET-SaTScan implementation/evaluation,10.1016/j.ajic.2017.06.031,No,,Elsevier / American Journal of Infection Control,Not bundled - commercial full-text sources; no lawful open repository PDF confirmed in deep re-search,https://doi.org/10.1016/j.ajic.2017.06.031,PubMed lists commercial full-text sources; ScienceDirect exposes rights/content rather than an open-access licence.,,,,https://pubmed.ncbi.nlm.nih.gov/28844384/
30321629,2019,Automated detection of outbreaks of antimicrobial-resistant bacteria in Japan,WHONET-SaTScan national-scale evaluation,10.1016/j.jhin.2018.10.005,No,,PubMed Central / NIH Author Manuscript,Public author manuscript verified; automated PDF transfer blocked by host/runtime,https://pmc.ncbi.nlm.nih.gov/articles/PMC6461535/,PMC hosts the NIH author manuscript (PMCID PMC6461535).,,,,https://pubmed.ncbi.nlm.nih.gov/30321629/
32519624,2020,Automated outbreak detection of hospital-associated pathogens: Value to infection prevention programs,Automated outbreak detection using WHONET/SaTScan framework,,Yes,PMID_32519624_Baker_2020_Automated_Outbreak_Detection.pdf,CDC Stacks / HHS Public Access author manuscript,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,13,83463,6bc0f627b4ae9e89fb8813be9e3542d2cfad7c1853317b400909d81860fe597a,https://pubmed.ncbi.nlm.nih.gov/32519624/
38926895,2024,Comparing automated surveillance systems for detection of pathogen-related clusters in healthcare settings,Direct comparison including WHONET-SaTScan,10.1186/s13756-024-01413-5,Yes,PMID_38926895_Sim_2024_Comparing_Automated_Surveillance_Systems.pdf,Springer Nature / Antimicrobial Resistance & Infection Control,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,11,4561498,096d41f2b87f88e20aa8a914631032ba44aeefb202e99aa5ffca55fa830bd5d9,https://pubmed.ncbi.nlm.nih.gov/38926895/
39446801,2024,Enhanced automated detection of outbreaks of a rare antimicrobial-resistant bacterial species,Enhanced WHONET-SaTScan evaluation,10.1371/journal.pone.0312477,Yes,PMID_39446801_Hosaka_2024_Enhanced_Outbreak_Detection.pdf,PLOS ONE,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,16,2008806,785438e4d6dbeeb79420869e2da83d0e20ca20aa4fd3104c0388d5c6f79e887f,https://pubmed.ncbi.nlm.nih.gov/39446801/
40591673,2025,Barriers and perceptions of WHONET/BacLink adoption in Nepal: A qualitative study of clinical microbiology laboratories,WHONET/BacLink adoption and implementation,,Yes,PMID_40591673_Maharjan_2025_WHONET_BacLink_Nepal.pdf,PLOS ONE,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,11,465388,e457d8c32625313fa5ab5270457590833ab0cba8654dc40068311420ead3bc1d,https://pubmed.ncbi.nlm.nih.gov/40591673/
41149798,2025,A Six-Step Protocol for Monitoring Antimicrobial Resistance Trends Using WHONET and R: Real-World Application and R Code Integration,WHONET analytic protocol,10.3390/mps8050115,No,,MDPI / PubMed Central,Open-access PDF verified; automated PDF transfer blocked by host/runtime,https://pmc.ncbi.nlm.nih.gov/articles/PMC12566455/,Article is CC BY 4.0; PMCID PMC12566455. Publisher page: https://www.mdpi.com/2409-9279/8/5/115,,,,https://pubmed.ncbi.nlm.nih.gov/41149798/
41580659,2026,The use of WHONET for antimicrobial resistance surveillance: a systematic review,WHONET systematic review,10.1186/s12879-025-12420-1,Yes,PMID_41580659_Aboushady_2026_WHONET_Systematic_Review.pdf,BMC Infectious Diseases / open institutional repository copy,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,12,2084101,c5b45c7ecea3858890c59dc64441a26726bdbb75dc5806887d62befb1f0d541e,https://pubmed.ncbi.nlm.nih.gov/41580659/
